State,class
I0I*z*Z0I0,Normal-Jist
"R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.W.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.W.R.R.R.R.R.R.R.R.R.R.W.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.a.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.a.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.a.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.U.U.U.U.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R,R.D.U.U.D.u.u.D.u.u.D.R+R.u.U.U.D.u.u.d.D.D.d.R*R.S,S.b.b.d.U*U.U.U.S+S.b.b.d.R+U.U*U.U.U.R*U.R.U.R.U.R.R.U.R.R.U.r.D.R.U.r.U.R.R.U.A.R.U.R.U.u.A.r.r.u.r.r.r.u.r.u.r.r.r.u.u.s.U.U.U.U.u.U.U.R.U.R.R.A.D.R+U.R,R.A.R.U.a.r.u.A.u.U.r.R.a.u.R.R.U.U.R.a.R.R.u.R.R.r.r.u.R.U.R.r.A.d.R,U.r.u.R.R.u.R.R.u.u.R,U.r.u.U.D.A.r.r.r.U.u.r.U.R.u.r.r.R,R.r.A.r.u.U.d.U.R+U.R.U.U*U.U.U.V*U.U.U.U.U.U.U.U.D.U*U.U.U.U*U.U.U.U*U.U.U.U.U.V.U.U.u.S*S.b.b.d.R,R.R.U.W.R.R.R.W.R.D.R.R.W.U.r.u.R.R.R.U.u.u.U.r.r.u.U.U.R.U.u.R.u.u.r.D.R.R.U.u.u.u.V.r.s.R.u.D.U.R.U.s.D.S.R.V.S.R.S.R.V.R.W.U.U.U.U.R.R.u.S.W.V.u.r.r.d.s.U.U.r.s.S.u.S.R.U.r.u.r.D.a.u.r.w.r.u.r.D.E.S.S.S.W.U.S.R.u.s.U.S.V.s.s.d.S,W.R.R.w.u.R.A.u.r.R.U.R.U.S.r.u.r.r.d.S.r.V.S.u.R,U.u.u.U.u.R.U.r.u.U.R.R.R.u.u.D.R.u.r.R.a.r.R.r.R.R.R.w.r.W.U.R.R.r.U.U.U,U.u.u.u.u.R+R.U.W,U.S.s.b.b.d.U+Z.U.U.R,R.D.R.U.R+R.R.U.R.R.r.r.R.r.u.R.W.R.U.U.W.U.r.U.R.U.U.U.U.s.r.r.U.U.r.u.u.U.R.R.u.u.W.U.U.A.f.r.u.s.S.r.S.S.U.U.s.S.s.r.V.U.U.R.A.r.R.U.r.U.U.U.R.R.D.W.R.R.w.r.U.u.r.u.r.U.U.R.R.R.R,R.R.S.R.R.R.u.r.r.r.w.R.R.r.R.R.R.s.R.S.R.V.U.U.A.r.r.R.r.r.r.r.A.u.U.u.U.R.U.R.U.r.U.U.u.R,R.U.U.r.r.R.U.U.R+U.R,U.S+S.b.b.d.U,U.R,R.D.R.U.S,R.R.U.S.s.b.b.b.b.b.b.r.U.V.r.u.u.r.U.S.s.U.S.B.b.u.U.S.r.R.u.U.R.U.u.U.r.u.u.r.D.A.D.w.u.U.S.R,R.r.R.R.w.U.U.s.v.s.F.u.U.U.U.u.U.R.R.R.d.R.V.R+S.R.U.R.U.R+U.W.R.D.U.U.u.U+U.W.R.R.a.A.R.R.R.u.a.u.U.U.D.D.d.U.u.U.u.R,W.R,R.R.u.R.R.R.R.U.r.u.A.u.r.u.u.U.S.w.U.u.r.r.u.R.u.u.u.r.u.r.u.U.R.R.u.r.r.r.r.r.D.r.u.u.r.r.r.R.D.S.R.r.A.R.a.A.A.D.S.B.d.R.R.r.R.R.u.u.R.R.r.u.u.U.U.W.R.u.w.u.u.r.r.D.u.u.S,R.S.R.d.U.R.U.W+R.R,U.u.R.U.R,U.R.R.S,W.b.b.d.R+R.R.R.R.R.U.A.A.u.u.r.R.U.W.U.u.U.u.u.R.r.R.R.R.R.r.R.U.r.v.u.U.u.u.u.U.U.u.U.U.W,U.R,R.u.R.U.S.S.R.r.D.S.b.a.b.b.b.B.B.b.b.b.b.b.b.U,U.R,R.R,R.R.U.R.R.u.R.R.W.R.D.U.R.R.r.U.R.U.r.A.r.r.R.U.r.A.D.U.A.R.u.S.U.r.U.R.U.R.V.R.W.U,U.R,R.U.r.r.D.u.R,R.A.R,R.D.R.R.u.r.U.W.U.U.U.u.u.U.u.R.R.r.R.R.u.u.r.U.F.u.u.u.U.U.U.u.U.U.S,S.b.b.d.R,W.u.R.R.D.R.R.R.U.r.u.R+R.u.R.U.S.R.R.u.S.r.R.A.S.S.b.b.b.b.B.b.b.b.b.f.b.b.R,R.r.u.w.R.R.u.u.u.U.u.U.u.u.U.u.U.u.U+U.U.U.S,S.b.b.d.R,U.R.U.W+R.D.R.U.S,S.r.R.d.S.s.A.S.r.R.S.B.r.V.v.r.u.w.u.u.u.U.s.u.U.S.s.b.b.a.b.b.b.R+U.R,R.r.R.R.R.R.R.W.R.r.a.r.r.r.A.A.u.R.A.r.R.D.U.r.u.r.u.u.r.U.R.R.W.R.R.R.R.u.R.R.r.r.r.r.r.r.r.r.A.r.r.W.r.A.R.R.A.r.A.R.r.R.r.r.w.r.r.a.R.r.r.U.r.A.r.r.a.R.W.R.R.R,R.R.r.R.R.U.U.R.u.R.R.R.r.R.U.R.R.R.r.r.u.U.R.A.U.R.W.R.u.R.R.R.R.R.R.R.W.W.r.r.R.A.U.U.R,R.R.R.r.R+R.w.R.R.R.R.R,R.R.R.R.R.R.R.R.R.R.r.R.D.R.R.R.u.A.u.r.u.R.R.D.R.R.R.r.a.u.a.r.R.U.R.A.W.R.r.R.R.r.R.r.U.U.R.R.u.r.r.r.r.R.r.r.U.R.R.U.r.r.r.R.r.r.W.R.R.R.R.R.d.R.R.B.R.R.A.R.R.r.R.r.r.R.r.R.R.b.U.U.R.R.R+R.D.R,R.u.R.U.R,R,R.R.R.u.R+R.R.R.D.R.U.S.S.s.r.R.U.S.s.b.b.r.R.A.S.B.b.b.R.U.w.u.e.U.u.u.u.u.U.S.u.s.s.b.R,U.R.U.U.U.r.R.U.R.U.R,R.D.R.R.r.R,U.R,U.U.U.R.R.d.R*R.R.U.R,R.u.R.R.D.r.R.U.U.R.R.D.u.u.U.S.r.A.u.u.U.D.u.r.u.r.u.S.B.S.R.R.r.R.E.R.R.s.S.s.u.U.u.r.r.u.R.V.R.U.U.U.V.S.R.V.U.U.U.R.R.R.U.R.U.S.R.R.R.R.U.R.R.R.U.U.R.S.R.A.R.D.S.S+S.b.u.R.R.R.R.R.r.R.R.R.R.r.u.r.r.R.R.R.r.r.A.r.d.r.R.R.r.u.u.u.r.R.R.r.R.R.A.R.R.R.R.A.R.R.r.r.r.r.r.r.r.r.r.R.r.A.r.r.A.r.r.r.r.r.A.R.R.a.u.R.a.R.r.r.R.R.D.R.R.R.R.R,R.R.U.U.R.R.r.R.R.r.R.r.u.u.R.R.r.r.U.A.r.R.R.U.r.R.R.R.r.R.U.R.R.U.U.U+U.U.U.W+R.a.R.R.u.R+R.D.R.R.R.U.R,U.R.R.D.R.R.U.R.D.u.u.R.R.u.u.u.u.S.r.R.U.U.R.U.U.U.R.R.u.u.U.R.A.B.S.U.u.d.U.u.u.U.e.S.S.v.A.r.R.U.U.u.U.r.r.R.U.U.u.U.R.r.U.V.U.U.S.s.e.r.R.u.U.U.u.u.u.U.W.V.A.U.R.U.E.U.V.U.U.U.u.u.u.U.U.u.u.u.U.R.u.v.U.U.U.R.U.U.R.U.u.U.u.U.U.U.u.U.U,U.U,U.D.u.u.U.U.A.U.U.R.U.U.U.U.U.u.D.U.u.d.u.D.d.u.U.u.U.U.U.D.w.u.U.U.U.u.U.U.d.u.D.A.D.r.u.D.u.U.D.u.D.u.u.u.u.u.R.R.u.R.U.R.R.r.r.r.r.R.r.u.u.u.r.u.r.u.u.S.r.u.r.u.r.D.u.r.R.A.u.u.u.u.r.u.r.r.u.S.B.b.d.U.U.V.R.R.V.U.U,U.v.U.U.u.D.U.U.u.U.u.U.U.U.U.R,U.a.r.U.R.R.U.D.R.R.R.u.U.U.r.u.U,U.R.U.R.R.B.u.u.R.r.U.R.u.r.u.r.d.a.r.u.u.U.r.s.r.r.D.s.U.U.U.D.v.u.R.R.R.A.A.r.A.A.r.u.s.R.S.U.u.r.U*U.U.U.S*S.S.S.d.S*S.b.b.d.U*U.U.U.U*U.U.U.",Normal-Jist
F.,Normal-Jist
Z.z.W.W.Z.Z.I.Z.Z.Z.Z.Z+W.F.Z.Z.z.Z.z.,Normal-Jist
Z.z.Z.I.Z+,Normal-Jist
w.X.W*W.X.,Normal-Jist
W*X.,Normal-Jist
x.W+W.X.X.X*X.X.,Normal-Jist
W.w.X.,Normal-Jist
f.W.Z.Z.Z.Z.W.W*W.W.W.w.Z.z.W.,Normal-Jist
