State,class,tokenize_with_padding,tokenize_no_padding
I0I*z*Z0I0,0,"[18, 37, 18, 50, 27, 50, 36, 37, 18, 37]","[18, 37, 18, 50, 27, 50, 36, 37, 18, 37]"
"+U.R,R.r.R.",0,"[49, 31, 47, 28, 48, 28, 47, 19, 47, 28]","[49, 31, 47, 28, 48, 28, 47, 19, 47, 28, 47]"
F.,0,"[15, 47, 0, 0, 0, 0, 0, 0, 0, 0]","[15, 47]"
.F.Z.Z.z.Z.,0,"[47, 15, 47, 36, 47, 36, 47, 27, 47, 36]","[47, 15, 47, 36, 47, 36, 47, 27, 47, 36, 47]"
Z.z.Z.I.Z+,0,"[36, 47, 27, 47, 36, 47, 18, 47, 36, 49]","[36, 47, 27, 47, 36, 47, 18, 47, 36, 49]"
w.X.W*W.X.,0,"[24, 47, 34, 47, 33, 50, 33, 47, 34, 47]","[24, 47, 34, 47, 33, 50, 33, 47, 34, 47]"
W*X.,0,"[33, 50, 34, 47, 0, 0, 0, 0, 0, 0]","[33, 50, 34, 47]"
x.W+W.X.X.X,0,"[25, 47, 33, 49, 33, 47, 34, 47, 34, 47]","[25, 47, 33, 49, 33, 47, 34, 47, 34, 47, 34]"
W.w.X.,0,"[33, 47, 24, 47, 34, 47, 0, 0, 0, 0]","[33, 47, 24, 47, 34, 47]"
Z.Z.W.W*W.W,0,"[36, 47, 36, 47, 33, 47, 33, 50, 33, 47]","[36, 47, 36, 47, 33, 47, 33, 50, 33, 47, 33]"
*W.W.W.w.W.,0,"[50, 33, 47, 33, 47, 33, 47, 24, 47, 33]","[50, 33, 47, 33, 47, 33, 47, 24, 47, 33, 47]"
"X,W.W.w.X.X",0,"[34, 48, 33, 47, 33, 47, 24, 47, 34, 47]","[34, 48, 33, 47, 33, 47, 24, 47, 34, 47, 34]"
z+Z.,0,"[27, 49, 36, 47, 0, 0, 0, 0, 0, 0]","[27, 49, 36, 47]"
F.,0,"[15, 47, 0, 0, 0, 0, 0, 0, 0, 0]","[15, 47]"
x.X+X.x.W*W,0,"[25, 47, 34, 49, 34, 47, 25, 47, 33, 50]","[25, 47, 34, 49, 34, 47, 25, 47, 33, 50, 33]"
W.W.W.W.w.X,0,"[33, 47, 33, 47, 33, 47, 33, 47, 24, 47]","[33, 47, 33, 47, 33, 47, 33, 47, 24, 47, 34]"
.W0W.W.W.W*,0,"[47, 33, 37, 33, 47, 33, 47, 33, 47, 33]","[47, 33, 37, 33, 47, 33, 47, 33, 47, 33, 50]"
