State,class
I0I*z*Z0I0,Normal-Jist
"+U.R,R.r.R.",Normal-Jist
F.,Normal-Jist
.F.Z.Z.z.Z.,Normal-Jist
Z.z.Z.I.Z+,Normal-Jist
w.X.W*W.X.,Normal-Jist
W*X.,Normal-Jist
x.W+W.X.X.X,Normal-Jist
W.w.X.,Normal-Jist
Z.Z.W.W*W.W,Normal-Jist
*W.W.W.w.W.,Normal-Jist
"X,W.W.w.X.X",Normal-Jist
z+Z.,Normal-Jist
F.,Normal-Jist
x.X+X.x.W*W,Normal-Jist
W.W.W.W.w.X,Normal-Jist
.W0W.W.W.W*,Normal-Jist
W0W.f.W.W.w,Normal-Jist
+W.W.Y*W.F.,Normal-Jist
y.,Normal-Jist
Z.Z.Z.z.z.Z,Normal-Jist
"Z.Z.Z,Z.I.Z",Normal-Jist
.Z+Z.Z.z.Z.,Normal-Jist
"+Z.I.z.Z,Z.",Normal-Jist
W.W.w.W.Z.,Normal-Jist
F.Z.W*w*w*W,Normal-Jist
.f.W*Z.W.W.,Normal-Jist
Z000,Normal-Jist
Z.z.I.I.,Normal-Jist
0I00,Normal-Jist
W.,Normal-Jist
"V.W,W.e.",Normal-Jist
i0i0,Normal-Jist
f0,Normal-Jist
Z*Z.,Normal-Jist
W.Z.Z+Z.z.z,Normal-Jist
W.F.F.,Normal-Jist
Z.Z.Z.Z.,Normal-Jist
W.W.,Normal-Jist
.Z.Z.z.I.Z.,Normal-Jist
W.,Normal-Jist
"Z.W*Z,W*Z.",Normal-Jist
"I.Z.Z.I.Z,",Normal-Jist
w.Z.,Normal-Jist
Z.I.I.Z.Z+Z,Normal-Jist
".I.Z*Z.i.Z,",Normal-Jist
I*,Normal-Jist
.z.z.Z*w0W.,Normal-Jist
Z.Z*z*,Normal-Jist
"Z,Z.I.Z00z*",Normal-Jist
0W.Z00,Normal-Jist
W.W.,Normal-Jist
00W.W.Z.Z*,Normal-Jist
"Z,Z.W00W.",Normal-Jist
X+,Normal-Jist
W.f.Z.Z*Z+,Normal-Jist
"W.w.W.Z,Z.z",Normal-Jist
".Z.W,W.w.Z.",Normal-Jist
0W.W.W.,Normal-Jist
I0,Normal-Jist
F.W*W.W.W*W,Normal-Jist
0z*i0,Normal-Jist
.z.i.Z+Z.I.,Normal-Jist
"X,",Normal-Jist
v.V.V.V.X.V,Normal-Jist
W.,Normal-Jist
I.i.z.Z+Z.Z,Normal-Jist
Z.I.,Normal-Jist
w.w.,Normal-Jist
"z.Z.z.Z,Z.Z",Normal-Jist
Z.Z.Z.Z.,Normal-Jist
