ipsrc,ipdst,port,proto,State,LabelName,source,id
10.0.2.22,91.121.84.201,80,tcp,",s,b,S*Z,s,s,S00Z,z,Z*Z,B,w,W*Z,w,z,S00S,b,S*S,i,Z000000W,s,S.s,w.S,Z0Z,Z*W,z,Z0s*S,i,W*S,i,S0000S,i,S*S,b,S00S,b,S00W,b,W00Z,b,z,W*Z,z,Z*s*S,i,Z*Z,i,Z*B*Z,z,Z+Z,i,Z*W,z,s,z,Z*Z,I,Z*Z,z,Z0Z,z,S0Z,s,w,I,Z0S,s,b,Z*Z,S*S,i,W*Z,w,w,W0Z,w,S0W,i,Z+s,z,z,S*Z,s,w,S*Z,z,W*Z,z,S0W,i,W*Z,Z*W,w+s,S*Z,s,s,Z*Z,b,s,Z*Z,Z*S,z,z+z+Z,R,R+i+r+z+r,Z*S,s,i,W*S,F,S.S,z,z,Z*Z0F0S,i,Z*W,z,w,z,Z*Z0Z*Z+z,i,Z*Z000000Z,a,Z0000z0z*Z,I,R*R+i+Z0Z,i,S*Z,Z0Z,F,s,Z*z*w*Z,s,Z.w,I,z,Z*I*Z,W0Z,B,z,Z00i00W,z,s,z,Z*Z,I,S0W,b,z,w,z,z,Z00S,z,z,Z*Z,I,S000Z,s,z,S*S,b,Z0000Z,z,Z00S,z,w,s,Z*s*S,b,W*W,i,Z0z*Z,I,Z00I00S*Z,Z0S,z,w,w,Z00Z,Z000000s000S,i,V0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000Z+Z00000000z00z0z*z00z00000000",Botnet,2013-10-01_capture-win8.pcap.tsv,39707
10.0.2.29,64.92.209.233,25,tcp,",",Botnet,2013-08-20_capture-win15.pcap.tsv,19700
10.0.2.29,202.96.209.6,53,udp,0s0000S.S0000000000000000000S.,Botnet,2013-08-20_capture-win15.pcap.tsv,8920
10.0.2.22,108.251.186.225,1468,udp,0V00000z000z0F0i0,Botnet,2013-10-01_capture-win8.pcap.tsv,33206
10.0.2.29,143.236.32.121,25,tcp,",S.S+S.S+s*S+S*B*S0b0S*C*s*s*s*S*S*S,S,S*s*t*s0S+t+T*s*s*t*B*s*S*s0S*s*s*s*s*B*s0s*s*B*s*t0S00000000s00S*s*S+t+t+S0S0000000000S*S*",Botnet,2013-08-20_capture-win15.pcap.tsv,2332
10.0.2.29,209.50.171.76,53,udp,.b.V0S.b.V000,Botnet,2013-08-20_capture-win15.pcap.tsv,12757
10.0.2.22,174.132.149.219,80,tcp,"+Z00z*z*z0z0I0I0z*z0y*z*Z000000000Y0Y,Y.Z,Y,I,y,Z*I*z*z*Z*z000z0z*Z00Z*z0Z+Z*z*z*z*Z,Z*z*Z*i*z+Z00000Z*z000Z*I*Z000z0z*z*z+Z0z000Z*z*Z00Z+Z0z*Y00Y*y+y*y*Y000y0y0000Y*y0y0y00y000Y*Y0y0000y00H00H000y*Y0000000Y0H0y*y*Y00000000000000Y0H0y00y00000Y*H*Y00y000000H0000000Y*Y00000Y*Y*y*H*y0y000H000y0000000y000y*H*Y000000y00H0y0000000y0000y00y0y*Y0y*y*Y00y0H0Y+Y0000y00y*Y0000y00Y0000000000000y0000y00Y+Y0000y00y0000Y*Y0000y000000000y00y000000Y000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000Y00000Y*Y000000000y000y0000000y00y000000000Y0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000Y0000000Y*Y00000000000000000Y*Y0000000000000Y00H0h0y0000y0y000y0Y000000000000Y*",Botnet,2013-10-01_capture-win8.pcap.tsv,33999
10.0.2.112,111.249.120.181,4692,udp,0f0f0f0f0f0f0i0F0F0f0F0F0f0f0i0F0I0F0F0f0f0f0f0i0F0F0f0f0f0f0f0f0f0i0F0F0F0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0w00w0f0f0f0f0f0f0f0f0f0i0F0F0F0f0f0f0f0f0i0F0A0,Botnet,2013-10-01_capture-win12.pcap.tsv,27971
10.0.2.29,193.108.91.209,53,udp,".a.R00000000000000000000S.R,R.",Botnet,2013-08-20_capture-win15.pcap.tsv,5877
10.0.2.29,80.93.29.12,25,tcp,",V*",Botnet,2013-08-20_capture-win15.pcap.tsv,25137
10.0.2.22,119.234.136.84,5726,udp,0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0a0,Botnet,2013-10-01_capture-win8.pcap.tsv,33475
10.0.2.29,195.154.228.250,53,udp,0u0U*u*u*u0U000000000000000000U.U+u+U.U0U*u*v*U00,Botnet,2013-08-20_capture-win15.pcap.tsv,6658
10.0.2.22,74.54.40.235,25,tcp,0000000y0000y0Y00000000000y000000y0H0H00y00000y00Y*Y00H00y0Y0000000Y000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000Y00Y*Y0y00y0H00Y000000000000Y*y*Y00H000y00000y00y0Y000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000Y0000000000H0000000H00000000y00Y*Y+Y0000y0000000Y*Y00000000y0,Botnet,2013-10-01_capture-win8.pcap.tsv,36992
10.0.2.22,95.241.219.220,4140,udp,0000000000000000000000000000000000000000000000000000000000000000000000000000,Botnet,2013-10-01_capture-win8.pcap.tsv,40033
10.0.2.22,62.149.128.74,80,tcp,*H*y*Y+Y00Y+X000000x0G0X000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000Y000000000Y000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X000000000000000000000000X0000,Botnet,2013-10-01_capture-win8.pcap.tsv,36141
10.0.2.29,173.200.250.34,53,udp,",",Botnet,2013-08-20_capture-win15.pcap.tsv,3480
10.0.2.106,36.238.32.203,2478,udp,0a0,Botnet,2013-11-06_capture-win6.pcap.tsv,43205
10.0.2.22,178.211.57.26,25,tcp,"0y*y000h000y*H0Y,Y*Y*y*y*y*Y000000Y*Y,Y000Y*y*Y0y*h*y*y*y*y*Y,Y*y*y00Y*Y+Y0H0H*Y*y*H*y*Y.Y*Y.Y,Y*y*Y,Y*Y,Y*Y,Y+y*y*H*y*y*y*y*Y,Y*Y+h+Y*y+y*y*Y+Y*H*y*H*y*Y0H0y*y*y*y*z*y+Y*Y+Y*y*y0y*y*y*y+Y*y*y*y*H*y*H*H*y*H*y+Y*y*y*y*Y,Y*y*y*Y+Y0y*H*y*y*Y*y*Y0H0Y*H*Y*y*y*h*Y000y0000Y+Y0Y*Y*y0y*H*H*y*y*y*y*y*y0y00y*y*y*y*y*y0y*y0y0y*y0Y*y0Y*y*h*y*y000y0Y*Y0y00Y*Y+Y*y*Y,Y*y*Y0y*y*y*y*y*y*y*y*y+y*Y0y0Y,Y00Y*y*H*y*y*H*y*y0Y,Y*y*y*H*y*y*Y0y*y*Y*Y0y*y00y*H*y00y0y0Y*y*y*Y+H*Y*Y0000Y*",Botnet,2013-10-01_capture-win8.pcap.tsv,34117
10.0.2.29,193.118.251.141,25,tcp,",s,S+B+S,S*s*s*s*T+S*s*s*s*S,s+S*s+s*B*s*s*s*S*t+B+s+s,b,t+S*s*s*S*s*s*B*S,T0S*S0S*s*S0S+B+s+S,T*s0B0S*t*B*t+T*S,S*s*s*S0s0000000S0B0s*s*s+s*s+S*s*T*s*s*b*s*B*s*S0000000000S*s*s*T+",Botnet,2013-08-20_capture-win15.pcap.tsv,5923
10.0.2.29,83.170.69.54,53,udp,0r0000S.V000000000000000000000,Botnet,2013-08-20_capture-win15.pcap.tsv,25706
10.0.2.22,190.93.242.165,80,tcp,000000000000000000000000000,Botnet,2013-10-01_capture-win8.pcap.tsv,34391
10.0.2.29,93.125.30.200,53,udp,",",Botnet,2013-08-20_capture-win15.pcap.tsv,26873
192.168.1.191,95.100.190.95,443,tcp,",Z.Y,y+Y,",Normal,2017-05-02_kali-normal.pcap.tsv,72346
10.0.2.106,66.19.186.182,6159,udp,0f0c0,Botnet,2013-11-06_capture-win6.pcap.tsv,43865
10.0.2.29,65.99.220.12,53,udp,",",Botnet,2013-08-20_capture-win15.pcap.tsv,20079
10.0.2.22,189.113.168.4,25,tcp,".Y,Y+H+Y*H*Y,Y*y*y*H*H*y*Y0y0Y*y+Y00Y*Y0y*y0Y*Y0y*y0Y*Y0y*y00H00y0y00y0y*y00y0y*Y000y00000y000y0Y00000000Y0y000Y+Y0H0y*Y+Y000Y*Y00000H0000H00000y00y*y0y0Y*y*Y0Y*Y*Y000y*Y0000000000000y000H000y*y0y0H0Y0000000Y*y+Y*y*y*y*y*y00y*H0Y+Y*y00y*y0y000Y*Y00000H0000Y+y*y*y00y0000000Y0h0y*y0y0Y*y*Y00y000Y*y00y0y0000000Y*Y000000H0000000H00000000y00y*y0y*y*y0000H00000y00000000y0000H00000Y*y0h0y00y*y*y000y0000000000Y*y*Y00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000Y0000y0y00y0y0Y*Y00000000y000000y0000y00y0Y000000Y000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000Y0000000000000000y0000000000y0000000H00000000y000000000000H0000000000000Y*y0",Botnet,2013-10-01_capture-win8.pcap.tsv,34335
10.0.2.29,63.84.188.66,53,udp,.s.,Botnet,2013-08-20_capture-win15.pcap.tsv,18719
10.0.2.106,93.51.142.138,6576,udp,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,Botnet,2013-11-06_capture-win6.pcap.tsv,64463
10.0.2.22,64.251.22.83,80,tcp,",Z0z*z*z*i*z00z0Z*Z0z0h0Y,Z*z*z0z*Z,Z*I*z00Z*Z0z0z0Y.Z+y,Z*z*z*z*z*z0I*Z*z*I*z*Z,Z*I*z0z00z0Y*Y+Z.Z*Z*Z*z0z*z*I*Z0i0Z*z+Z*z0z*z0z*z*Z*I*I*Z,Z0z*z*z*z*z*z*z*Z0z*z0z*Z00I00Z*z*z*z*Z0z*z00I0z*z*Z00z0Z*Z0z*z*I*z*Z00z0i0z0000Z+Z*z*Z0000Z*z00Z*z*z*Z0I0z00I00z0z00Z*Z+I*Z*z00Z*z*z*z*z*z0z00z000Z+Z*Z00z0000000Z*z0Z*Z000z*Z0000z0z*Z00000000Z*z0I0I00z*z0z*Z00000Z*z*I*Z00000z0I0Z+Z,Z*Z000z00000Z*Z00z00z*Z+z*z*z*z0Z000000z0Z*Z00z0z00I00z*z0z*Z+Z*z00z*z*I*z0Z00000000Z*z*z0z0000z00Z00000000000Z00z0z00z00000000000Y+y+z,Z0Z*z*z*z*z*z*z0i0z0000z0000000000Z*Z000Z00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000Z0Z000000000z0000z0z*i*z*Z000z00000z000Z*Z000I00Z0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000Z0000z0000000000z000z*Z000I000z00z0I0Z*Z0000z00z00000z0z*z0z00000z00000000z000000z0z*z*",Botnet,2013-10-01_capture-win8.pcap.tsv,36238
10.0.2.112,122.152.128.121,80,tcp,"0000y0y00Y*Y,Y+Y*Y*y*y0y*y*y*y*y*y*y000y0V,y+y+Y*y0y0000000Y0y*Y,Y*y0H0y*y0y*Y000y0y*y*H*Y0y*y*h*Y00Y+Y*y*y*Y*Y0y*h*h*Y+Y*h*y*H*H*Y,y+Y*Y.Y,Y*H*Y+H*Y*y*y*y0y0H0y*h*y0Y*Y*y*Y0y000Y*H*Y00Y*Y*y0Y*H*y*Y0H00Y*y*y*y0Y+y*y*Y+Y*Y0000Y*y*y0Y*y*Y0H0y*y*y0y0000Y*y*y*H*Y,Y*Y+Y*Y0000Y*H*y*H*Y*y0H00Y00000000000000Y*Y*Y*Y0h0y*y*y*Y000Y*Y0y0H0y0y00y0y*y00Y*y*y*Y0Y*Y0000000y0y0000Y*Y00y*Y+Y0y0000000y00H00h00y0y*y*Y0y00h00y0H0y0000y0y*Y00Y*y0y*y0y*y*y*H*Y0y*y*H*Y00y000Y*H*Y0000000000000Y00y0H0y*y00y000Y000000000000000000000000000000000000000000000000000000Y00000y000Y*Y000Y+Y00Y+Y*Y00000y0y0000Y00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000Y0Y*y*Y0000000Y*",Botnet,2013-10-01_capture-win12.pcap.tsv,28130
10.0.2.29,108.167.136.87,25,tcp,",y,y,y,",Botnet,2013-08-20_capture-win15.pcap.tsv,414
10.0.2.112,60.32.189.206,80,tcp,"00z0000Z*z*z00I00z*I*z0Z*z*I*z*z0Z+Z*z00Z*Z000Z*z0z*I*z00z*z00y*H*z*z00z0z00I0z*Z,Z*I*I*z*y*Y.Y,h,Y,y,Z*Z*Z*I*Z+z*Z*z*z*Z+Z*z*Z+Z*Z+z*z*z0Z*Z0z*H*z00Z*z*z0Z*i*Z*z0w0Z,I,Z*z0Z*z*I*Z0000z0z0z*Z00z*I*z00z*z00z*Z+Z00Z*z*Z0z0z*I*Z00z*z*I*z*z00z0z*z00Z+Z*z*z+z,Z*z*z*z*Z000Z+Z0z*I0Z+Z0000000000000000000Z00z*Z+Z00Z*z*z0z*I*i*z00Z*Z0I0z*Z00Z*Z000Z*z0z0I0z*z0z*z00Z*Z0Z*z*I*z0Z000000000z000z000000Z*z00z0z000Z*z*z0Z+Z0z000z*z0z000z00z000I00z0z*Z0000I000Z*z0z000Z*z*z*Z00I0Z*Z00z*z00I00z0z00Z*Z0Z*Z00Z*Z0000000000000000000000000000000000000000000000000Z*Z000z00I000z0I0z000Z*Z00000z00000000Z0000000000000000000000000000000000000000000000000000000000000000000000000000000000Z0000z000000Z*Z0000Z*Z000000000000",Botnet,2013-10-01_capture-win12.pcap.tsv,29877
10.0.2.22,66.37.233.242,80,tcp,"00z000z0i0z0000z0I0z*z0z*Z00z0z*z0Z*Z0Z,Z*z*z*z*I*z0z*z*z*z0I0z00Z+Z*z*z*z*Z*z*z0z00z0I0z0Z,Z*z*z0z*z*z0z*z*z0I0z*z0Z*Z0I0z*z*Z+Z*i*z0Z*i*i*z*Z0i0z*z0z*z0z*Z00Z*z*z*Z*z00Z*Z0z00000z0Z*z*Z,Z*z*z*Z0z000z0z00Z*z*Z+Z0I0Z+z*Z00z0z0z*z0I0I0Z+Z*z*Z*z*Z0000z0Z*Z0z0z*I*Z+Z0I0z*Z0000z0z0z*Z00000Z*z*z*I*i*z*Z+Z00000z00z0I0z00z*z*z0z0000Z*z*z0Z+z*z*I*z00I00Z*z*Z,Z0z*z00z0z0000z00z*z*Z0z0000000Z*Z00z00000000000Z0z*z*Z000000z0z*z0Z*Z00z0000I0000Z*z*z000z0Z*z+Z00000000Z0I0Z00000000z000Z,Z.Z0z00z*I*z00z0z000z00z000Z*Z00000z00Z000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000Z000z0I0z*z0z00z0000000z000Z,Z0z*Z000000z000I000Z*I*Z00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000Z*Z00000z00z*I*z0I0z*z*Z00z00000000Z*Z000z0z000z*z000z*z0z*Z000z*i*z00z000z0I0z00z*Z000000000000000Z0",Botnet,2013-10-01_capture-win8.pcap.tsv,36403
10.0.2.29,216.218.220.34,25,tcp,+,Botnet,2013-08-20_capture-win15.pcap.tsv,15069
10.0.2.29,217.150.155.10,25,tcp,",S.S,S.S,t,C,s+s,B,",Botnet,2013-08-20_capture-win15.pcap.tsv,15727
10.0.2.106,86.30.206.35,5155,udp,000,Botnet,2013-11-06_capture-win6.pcap.tsv,63909
