ipsrc,ipdst,port,proto,State,LabelName,source,id
10.0.2.29,74.53.227.147,53,udp,.b.V00,Botnet,2013-08-20_capture-win15.pcap.tsv,23894
10.0.2.29,173.254.28.71,25,tcp,"*Y.Y,Y.Y+Y.",Botnet,2013-08-20_capture-win15.pcap.tsv,3771
10.0.2.15,46.137.176.178,80,tcp,",V.V.V.",Normal,2017-04-19_win-normal.pcap.tsv,69847
10.0.2.29,193.108.88.129,53,udp,0r0R+,Botnet,2013-08-20_capture-win15.pcap.tsv,5852
10.0.2.106,189.242.54.166,2953,udp,0f0f0f0i0i0a0,Botnet,2013-11-06_capture-win6.pcap.tsv,41992
10.0.2.22,86.0.21.69,7428,udp,0,Botnet,2013-10-01_capture-win8.pcap.tsv,39397
10.0.2.106,165.145.143.245,4166,udp,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,Botnet,2013-11-06_capture-win6.pcap.tsv,41380
10.0.2.22,204.9.200.100,80,tcp,"000y00000000Y+y*V0000v0y00H000Y,y,v,v,y,V*y*v*v*v0v*y*v*y*Y00v*y*v*V*Y*y*y0Y,Y*v*V00y*v*y*y*v0Y*Y0000V*E*y00V*y*v*v*v*v*v*y*y*v*y0v00y*h*Y+V0v*H*y0y0y00Y*Y00E00y0Y*Y000y0y00v000000Y*v0y*Y+y*e*V0v*v*V0y*Y0E0y0000E00000V*v*v*y0v*v*Y0000000y000Y*V00000y0V*y*Y0000y0V*v*y0V*Y*v00v0y000V*v00v*y0y*v0y000000Y*E*Y0y00H000v0000000Y0y*y0y000000v00y*y00V*Y00y00y0000H00000y00v000v00000000H0000000v000v00000y0E0v0000v000000000y00000y0v*v0000y*v0000Y*v*y*V000Y*H*V0000000000V*Y0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000V0H0H0y00v*v*v0y0y000Y*V0h0y0y00000v0y*Y000000v00y*v00V00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000V*Y000y0000000y00v00000y000V*H*V000000000000000v0000000000y000",Botnet,2013-10-01_capture-win8.pcap.tsv,34929
10.0.2.29,174.142.75.88,25,tcp,"+s,",Botnet,2013-08-20_capture-win15.pcap.tsv,4147
10.0.2.29,203.119.27.1,53,udp,"0s00S*s*S0S+S,S.S*S000000000000000000S.S*s*s*S+S00S*s+s+S*S,S.S,B,B,S*S+",Botnet,2013-08-20_capture-win15.pcap.tsv,8978
10.0.2.29,66.46.75.173,25,tcp,0000000000000000000000000Y.,Botnet,2013-08-20_capture-win15.pcap.tsv,20794
10.0.2.22,88.217.140.237,9986,udp,000000000000000000000000000000000000000000000000000000000000r0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000u00000000000000000000000000000000000000000000000000000000000000000000r0000000000000000000000r0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000r000000000000000000000000000u00000000000000000000000000000000000000000D00000000000000000000000000000000000000000000000000000W000000w00w0U00000000000000000000000000000000000000000000000000000000000000000000000000000000000,Botnet,2013-10-01_capture-win8.pcap.tsv,39588
10.0.2.29,174.142.36.238,25,tcp,",V.V,V,v,v,",Botnet,2013-08-20_capture-win15.pcap.tsv,4142
10.0.2.29,58.6.17.92,25,tcp,".S,S.S,S.S,B,",Botnet,2013-08-20_capture-win15.pcap.tsv,17879
10.0.2.29,89.28.168.209,53,udp,.B.s.,Botnet,2013-08-20_capture-win15.pcap.tsv,26493
10.0.2.29,91.217.114.9,25,tcp,",y,y,y,",Botnet,2013-08-20_capture-win15.pcap.tsv,26730
10.0.2.106,92.232.132.29,5394,udp,000000000000000000000u0000000000000000D000000000000000r00000000000000000000000000000000000000000000000000000000000000000000000000r000000000000000000000000000000000000000000000000000u000000000000000000r000000000000000000000000000000A00000000000000000000000000r0000000000000000000000000000000000A00000000000000000000000000000000000000000r0000000000000000R000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000r000000000000000000000000000000000000000000000r000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000r0000000000000000000000000000000000000000000000u0000000000000000000a0000000000000000000,Botnet,2013-11-06_capture-win6.pcap.tsv,64324
10.0.2.112,178.250.49.54,80,tcp,"000Z*x*I*Z00000X*X0000X*x*Y00w0Z,X0Y*x*x+y*H*z0x0V,X*g*W000X*X0x00X.X*x0x0x*x*x*x*x*X0g0I*X,Y*X000x0X.X,X,X*x*x0X*X*x*X+X*X+X*x0G0x0x00X*X.X+X*X+x*X0G0x*X+Y*x*x0G*X+Y*x*X+X*x*x+X*X+X*X+X*X+X*X*x*x+x+X*x*x*g*X*G*X,X*G*x*g*x*X00X*x*x*x*X.X+H+X*X+x*x*G*x*G*G*X+X*X,X*x+x*G*x*x*G*X+X*G*x*x*G*G*x*y*h*x*x+Y*Y,Y+y+y*y*G*X*X*x*x*G*X+X*x*x+x*h*x*x*y*x+X*x*X+x*X,X*x0X*x+X,X*x*x*x*x*Y*X0x*x*x*x*x*x*x*x*x*x*x*X+X*x*x*X*X+x+X*X*x+X0X,X*X,X*x*x0x*x0x*x*G*X,X*H*x*x*X*X,X*X+X*x*x*x*x*x*x*x*y0X*x*x*x*x*x*x*x0x*x0x00X*G*x*x*G*x*x*x00X*x*x*y0x*Y00000000000000Y0y*y*y0y*H*H*y*y+y+Y*y*y*Y,X*G*x*y0x*G*g*x*X+Y*y*y+H+Y0y*Y+Y*y*y*Y*y*y*y+Y,Y*Y00y0Y+Y0y*H*Y000Y*y*Y*y0g0X*x*x*x*x*H*x*x*x*x*y*Y+Y0y00Y+Y*Y*Y*H*Y*y*y*y0y*y*y*y*h*H*y0H0Y*y+Y*H*y*y*H*Y0y*H*y00Y*Y00Y*y*y*y0Y*y*y0Y*y*y*y*y0y*H*y*y0H0H0y*Y00Y*y*y*Y0y0Y*y*y000Y*Y0Y*y*y00Y*y*y*Y*Y*y00y0000Y*y0y00Y*y*y*y*H*h*y*Y+Y*y*H*y00y*y*y*H*Y00H00y*y*Y+Y*Y+Y*y*y*y*Y0Y*y*Y+Y0H*y*y*Y0x000X00000000000000000000000000000000000000000Y*s*S,g,X*Y*y0y*h*Y*X00x0G0G0x0X*X0x*y0X*x*G*y*y0x*y0y*X0X+Y0g0x*Y00000X0000000000000000000000000000000000000000000000000000000000000000000000000000000000000X000y*y*y0y*x00x0G*x*y*Y0000000g0000000Y*",Botnet,2013-10-01_capture-win12.pcap.tsv,28516
10.0.2.29,98.219.152.47,53,udp,",",Botnet,2013-08-20_capture-win15.pcap.tsv,27536
10.0.2.29,205.251.193.247,53,udp,*V+v*U*U+V0000000000000000000u0000,Botnet,2013-08-20_capture-win15.pcap.tsv,10363
